date,channel,impressions,clicks,spend,cpm,ctr,cpc,conversions,conversion_rate,video_views
2023-01-01,Programmatic,5927,576,2868.48,483.97,0.0972,4.98,51,0.0885,5499
2023-01-01,Paid Search,7052,765,4039.2,572.77,0.1085,5.28,63,0.0824,1300
2023-01-01,Paid Social,615,59,234.23,380.86,0.0969,3.97,6,0.1017,130
2023-01-01,Organic,766,82,376.38,491.36,0.108,4.59,7,0.0854,166
2023-02-01,Programmatic,6003,661,2525.02,420.63,0.1102,3.82,64,0.0968,5736
2023-02-01,Paid Search,7410,845,3523.65,475.53,0.1141,4.17,70,0.0828,884
2023-02-01,Paid Social,876,93,475.23,542.5,0.1071,5.11,10,0.1075,181
2023-02-01,Organic,643,62,253.58,394.37,0.0966,4.09,6,0.0968,178
2023-03-01,Programmatic,7085,754,3702.14,522.53,0.1065,4.91,61,0.0809,6699
2023-03-01,Paid Search,6748,773,4027.33,596.82,0.1147,5.21,88,0.1138,1187
2023-03-01,Paid Social,1132,121,511.83,452.15,0.1077,4.23,11,0.0909,160
2023-03-01,Organic,636,69,336.03,528.35,0.109,4.87,5,0.0725,144
2023-04-01,Programmatic,7873,862,3301.46,419.34,0.1096,3.83,82,0.0951,8643
2023-04-01,Paid Search,6027,655,2580.7,428.19,0.1088,3.94,60,0.0916,1528
2023-04-01,Paid Social,1328,132,469.92,353.86,0.0996,3.56,12,0.0909,203
2023-04-01,Organic,658,74,342.62,520.7,0.1133,4.63,8,0.1081,93
2023-05-01,Programmatic,9555,983,5239.39,548.34,0.1029,5.33,96,0.0977,9105
2023-05-01,Paid Search,4126,453,2074.74,502.85,0.1099,4.58,49,0.1082,766
2023-05-01,Paid Social,2898,298,1174.12,405.15,0.103,3.94,35,0.1174,585
2023-05-01,Organic,646,71,370.62,573.72,0.1101,5.22,6,0.0845,85
2023-06-01,Programmatic,10348,1069,3880.47,375,0.1034,3.63,101,0.0945,11374
2023-06-01,Paid Search,3870,387,1784.07,461,0.1,4.61,45,0.1163,913
2023-06-01,Paid Social,3358,364,1663.48,495.38,0.1086,4.57,33,0.0907,766
2023-06-01,Organic,707,71,271.22,383.62,0.1009,3.82,5,0.0704,172
2023-07-01,Programmatic,12668,1270,5715,451.14,0.1003,4.5,110,0.0866,13713
2023-07-01,Paid Search,5220,527,2519.06,482.58,0.101,4.78,54,0.1025,681
2023-07-01,Paid Social,5390,529,2861.89,530.96,0.0982,5.41,61,0.1153,1529
2023-07-01,Organic,1106,112,396.48,358.48,0.1015,3.54,13,0.1161,304
2023-08-01,Programmatic,9757,973,3872.54,396.9,0.0998,3.98,99,0.1017,8934
2023-08-01,Paid Search,5074,531,1932.84,380.93,0.1047,3.64,58,0.1092,1284
2023-08-01,Paid Social,4665,504,2716.56,582.33,0.1082,5.39,43,0.0853,958
2023-08-01,Organic,1060,109,427.28,403.09,0.1035,3.92,11,0.1009,260
2023-09-01,Programmatic,8102,885,3805.5,469.7,0.1093,4.3,94,0.1062,7896
2023-09-01,Paid Search,5564,578,2312,415.53,0.104,4,47,0.0813,579
2023-09-01,Paid Social,3283,326,1284.44,391.24,0.0996,3.94,27,0.0828,742
2023-09-01,Organic,817,78,277.68,339.88,0.0963,3.56,7,0.0897,165
2023-10-01,Programmatic,7042,763,2998.59,425.82,0.1084,3.93,65,0.0852,7655
2023-10-01,Paid Search,6892,733,2924.67,424.36,0.1065,3.99,72,0.0982,1250
2023-10-01,Paid Social,1948,188,819.68,420.78,0.0969,4.36,18,0.0957,376
2023-10-01,Organic,1023,98,471.38,460.78,0.0961,4.81,10,0.102,114
2023-11-01,Programmatic,6672,679,3544.38,531.23,0.1018,5.22,61,0.0898,6258
2023-11-01,Paid Search,7829,765,2960.55,378.15,0.0978,3.87,75,0.098,2152
2023-11-01,Paid Social,1338,139,725.58,542.29,0.1039,5.22,14,0.1007,147
2023-11-01,Organic,876,97,527.68,602.37,0.1117,5.44,11,0.1134,236
2023-12-01,Programmatic,7185,740,3300.4,459.35,0.1031,4.46,84,0.1135,7763
2023-12-01,Paid Search,8084,829,4534.63,560.94,0.1026,5.47,75,0.0905,2076
2023-12-01,Paid Social,2432,244,1193.16,490.61,0.1007,4.89,26,0.1066,624
2023-12-01,Organic,1038,113,430.53,414.77,0.1094,3.81,10,0.0885,304
